Athlete,Trick,Result,Unnamed: 3,ID,query_id,thumbnail_url
----------,-----------------------------------------,---------,,66ae852d7b2deac81dd1286e,0,0
Craig McMorris ,Impressive jump                    ,Success,,66ae852d7b2deac81dd1286e,0,0
Craig McMorris ,Mid-air spin                       ,Success,,66ae852d7b2deac81dd1286e,0,0
Craig McMorris ,Massive jump                       ,Success,,66ae852d7b2deac81dd1286e,0,0
Craig McMorris ,Series of spins and flips          ,Success,,66ae852d7b2deac81dd1286e,0,0
Craig McMorris ,Massive jump                       ,Success,,66ae852d7b2deac81dd1286e,0,0
Craig McMorris ,Series of spins and flips          ,Success,,66ae852d7b2deac81dd1286e,0,0
Craig McMorris ,Massive jump                       ,Success,,66ae852d7b2deac81dd1286e,0,0
Craig McMorris ,Series of spins and flips          ,Success,,66ae852d7b2deac81dd1286e,0,0
Craig McMorris ,Massive jump                       ,Success,,66ae852d7b2deac81dd1286e,0,0
Craig McMorris ,Series of spins and flips          ,Success,,66ae852d7b2deac81dd1286e,0,0
Craig McMorris ,Massive jump                       ,Success,,66ae852d7b2deac81dd1286e,0,0
Craig McMorris ,Series of spins and flips          ,Success,,66ae852d7b2deac81dd1286e,0,0
Craig McMorris ,Massive jump                       ,Success,,66ae852d7b2deac81dd1286e,0,0
Craig McMorris ,Series of spins and flips          ,Success,,66ae852d7b2deac81dd1286e,0,0
Craig McMorris ,Massive jump                       ,Success,,66ae852d7b2deac81dd1286e,0,0
Craig McMorris ,Series of spins and flips          ,Success,,66ae852d7b2deac81dd1286e,0,0
Person-1 ,Frontside double 1440 off the toes       ,Success,,66ae852d7b2deac81dd1286e,0,0
Person-1 ,Backside 1800                            ,Success,,66ae852d7b2deac81dd1286e,0,0
Person-1 ,Lip slide                                ,Success,,66ae852d7b2deac81dd1286e,0,0
Person-1 ,Frontside double 1440 off the toes       ,Success,,66ae852d7b2deac81dd1286e,0,0
Person-1 ,Backside 1800                            ,Success,,66ae852d7b2deac81dd1286e,0,0
Person-1 ,Ollie double flip                        ,Success,,66ae852d7b2deac81dd1286e,0,0
Person-1 ,Double Vama flip                         ,Success,,66ae852d7b2deac81dd1286e,0,0
Person-2 ,Backside triple 1620                     ,Success,,66ae852d7b2deac81dd1286e,0,0
Person-2 ,Cap 10 double                            ,Success,,66ae852d7b2deac81dd1286e,0,0
